,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,start_date,trips
177,2013-06-27,25.3,18.9,32.8,2.3,0.0,,10.2,,1006.4,,2013-06-27,95.0
178,2013-06-28,23.8,19.4,28.3,2.5,0.0,293.0,16.0,,1003.1,,2013-06-28,897.0
179,2013-06-29,19.5,17.8,22.2,0.0,,3.0,19.0,,1003.5,,2013-06-29,1201.0
180,2013-06-30,20.7,17.2,24.4,0.0,0.0,8.0,22.7,,1010.9,,2013-06-30,1812.0
181,2013-07-01,20.5,15.6,23.9,0.0,0.0,21.0,21.9,,1016.1,,2013-07-01,1559.0
182,2013-07-02,18.2,16.1,20.0,0.0,0.0,29.0,20.4,,1017.5,,2013-07-02,1108.0
183,2013-07-03,18.9,16.1,23.3,0.5,0.0,,7.1,,1017.0,,2013-07-03,1007.0
184,2013-07-04,22.6,15.6,28.9,0.0,0.0,190.0,12.3,,1017.8,,2013-07-04,2956.0
185,2013-07-05,24.7,16.7,30.6,0.0,0.0,,9.6,,1017.0,,2013-07-05,2463.0
186,2013-07-06,24.9,21.7,27.8,0.0,0.0,,9.1,,1016.1,,2013-07-06,3001.0
187,2013-07-07,26.3,21.1,31.7,0.0,0.0,207.0,13.3,,1014.7,,2013-07-07,2377.0
188,2013-07-08,26.1,21.1,30.6,33.5,0.0,218.0,17.2,,1014.1,,2013-07-08,1105.0
189,2013-07-09,27.0,23.9,29.4,1.3,0.0,232.0,15.0,,1013.0,,2013-07-09,1502.0
190,2013-07-10,25.7,18.3,30.6,0.0,0.0,11.0,13.5,,1011.4,,2013-07-10,1901.0
191,2013-07-11,22.9,17.2,27.2,0.0,0.0,,12.8,,1017.6,,2013-07-11,2308.0
192,2013-07-12,22.7,15.0,28.3,0.0,0.0,,8.4,,1019.1,,2013-07-12,2552.0
193,2013-07-13,24.2,19.4,28.9,0.0,0.0,,11.4,,1019.6,,2013-07-13,3345.0
194,2013-07-14,26.4,22.2,31.1,0.0,0.0,,13.8,,1021.2,,2013-07-14,3309.0
195,2013-07-15,27.8,23.3,33.3,0.0,0.0,,10.1,,1022.9,,2013-07-15,2028.0
196,2013-07-16,29.5,24.4,33.9,0.0,0.0,214.0,11.6,,1024.0,,2013-07-16,2057.0
197,2013-07-17,30.1,25.6,35.6,0.0,0.0,,11.6,,1023.3,,2013-07-17,1825.0
